Codigo,Municipio,Distancia,Servico,Atendimento,Percentual
310260,Andradas,474,S5,13,100
310260,Andradas,474,S6,16,100
310260,Andradas,474,S7,9,100
310260,Andradas,474,S8,3,100
310280,Andrelandia,312,S4,4,100
310280,Andrelandia,312,S5,19,100
310280,Andrelandia,312,S6,8,100
310280,Andrelandia,312,S7,7,100
310280,Andrelandia,312,S8,2,100
310285,Angelandia,466,S4,7,100
310285,Angelandia,466,S5,11,100
310285,Angelandia,466,S6,13,100
310285,Angelandia,466,S7,4,100
310285,Angelandia,466,S8,1,100
310290,Antonio_Carlos,190,S4,32,100
310290,Antonio_Carlos,190,S5,85,100
310290,Antonio_Carlos,190,S6,35,100
310290,Antonio_Carlos,190,S7,26,100
310290,Antonio_Carlos,190,S8,5,100
310290,Antonio_Carlos,190,S10,35,100
310300,Antonio_Dias,189,S4,72,100
310300,Antonio_Dias,189,S5,136,100
310300,Antonio_Dias,189,S6,56,100
310300,Antonio_Dias,189,S7,43,100
310300,Antonio_Dias,189,S8,8,100
310300,Antonio_Dias,189,S10,61,100
310310,Antonio_Prado_De_Minas,356,S6,3,100
310310,Antonio_Prado_De_Minas,356,S7,1,100
310320,Aracai,113,S4,24,100
310320,Aracai,113,S5,52,100
310320,Aracai,113,S6,34,100
310320,Aracai,113,S7,18,100
310320,Aracai,113,S8,4,100
310320,Aracai,113,S10,32,100
310330,Aracitaba,233,S4,9,100
310330,Aracitaba,233,S5,21,100
310330,Aracitaba,233,S10,9,100
310340,Aracuai,594,S4,2,100
310340,Aracuai,594,S6,10,100
310340,Aracuai,594,S7,6,100
310340,Aracuai,594,S8,1,100
310350,Araguari,558,S4,1,100
310350,Araguari,558,S7,5,100
310350,Araguari,558,S8,1,100
310360,Arantina,356,S4,5,100
310360,Arantina,356,S5,9,100
310360,Arantina,356,S6,5,100
310360,Arantina,356,S7,3,100
310370,Araponga,279,S4,36,100
310370,Araponga,279,S5,54,100
310370,Araponga,279,S6,10,100
310370,Araponga,279,S7,22,100
310370,Araponga,279,S8,4,100
310370,Araponga,279,S10,28,100
310380,Arapua,327,S4,10,100
310380,Arapua,327,S5,10,100
310380,Arapua,327,S6,6,100
310380,Arapua,327,S7,6,100
310380,Arapua,327,S8,1,100
310390,Araujos,140,S4,107,100
310390,Araujos,140,S5,217,100
310390,Araujos,140,S6,112,100
310390,Araujos,140,S7,63,100
310390,Araujos,140,S8,12,100
310390,Araujos,140,S10,100,100
310400,Araxa,353,S4,48,100
310400,Araxa,353,S5,72,100
310400,Araxa,353,S6,24,100
310400,Araxa,353,S7,32,100
310400,Araxa,353,S8,7,100
310400,Araxa,353,S10,30,100
310410,Arceburgo,465,S4,9,100
310410,Arceburgo,465,S5,7,100
310410,Arceburgo,465,S6,8,100
310410,Arceburgo,465,S7,5,100
310420,Arcos,224,S4,51,100
310420,Arcos,224,S5,142,100
310420,Arcos,224,S6,39,100
310420,Arcos,224,S7,38,100
310420,Arcos,224,S8,10,100
310420,Arcos,224,S10,65,100
310430,Areado,368,S4,6,100
310430,Areado,368,S5,22,100
310430,Areado,368,S6,13,100
310430,Areado,368,S7,5,100
310430,Areado,368,S8,2,100
310440,Argirita,337,S4,5,100
310440,Argirita,337,S5,10,100
310440,Argirita,337,S6,8,100
310440,Argirita,337,S7,4,100
310445,Aricanduva,468,S4,4,100
310445,Aricanduva,468,S5,6,100
310445,Aricanduva,468,S6,3,100
310445,Aricanduva,468,S7,3,100
310460,Astolfo_Dutra,287,S4,40,100
310460,Astolfo_Dutra,287,S6,32,100
310460,Astolfo_Dutra,287,S7,39,100
310460,Astolfo_Dutra,287,S8,6,100
310460,Astolfo_Dutra,287,S10,41,100
310470,Ataleia,522,S4,4,100
310470,Ataleia,522,S6,7,100
310470,Ataleia,522,S7,3,100
310480,Augusto_De_Lima,240,S4,22,100
310480,Augusto_De_Lima,240,S5,45,100
310480,Augusto_De_Lima,240,S6,13,100
310480,Augusto_De_Lima,240,S7,14,100
310480,Augusto_De_Lima,240,S8,3,100
310480,Augusto_De_Lima,240,S10,19,100
310490,Baependi,371,S5,25,100
310490,Baependi,371,S8,3,100
310500,Baldim,113,S4,85,100
310500,Baldim,113,S6,39,100
310500,Baldim,113,S7,43,100
310500,Baldim,113,S8,12,100
310500,Baldim,113,S10,113,100
310510,Bambui,253,S4,4,100
310510,Bambui,253,S5,48,100
310510,Bambui,253,S6,33,100
310510,Bambui,253,S7,25,100
310510,Bambui,253,S8,5,100
310510,Bambui,253,S10,27,100
310530,Bandeira_Do_Sul,427,S4,9,100
310530,Bandeira_Do_Sul,427,S5,9,100
310530,Bandeira_Do_Sul,427,S6,5,100
310530,Bandeira_Do_Sul,427,S7,5,100
310540,Barao_De_Cocais,110,S4,145,100
310540,Barao_De_Cocais,110,S5,358,100
310540,Barao_De_Cocais,110,S6,55,100
310540,Barao_De_Cocais,110,S7,134,100
310540,Barao_De_Cocais,110,S8,25,100
310540,Barao_De_Cocais,110,S10,257,100
310550,Barao_De_Monte_Alto,354,S4,7,100
310550,Barao_De_Monte_Alto,354,S5,13,100
310550,Barao_De_Monte_Alto,354,S6,13,100
310550,Barao_De_Monte_Alto,354,S7,8,100
310550,Barao_De_Monte_Alto,354,S8,1,100
310560,Barbacena,177,S4,100,100
310560,Barbacena,177,S5,200,100
310560,Barbacena,177,S6,84,100
310560,Barbacena,177,S7,60,100
310560,Barbacena,177,S8,10,100
310560,Barbacena,177,S10,93,100
310570,Barra_Longa,208,S4,22,100
310570,Barra_Longa,208,S5,64,100
310570,Barra_Longa,208,S6,24,100
310570,Barra_Longa,208,S7,24,100
310570,Barra_Longa,208,S8,3,100
310570,Barra_Longa,208,S10,31,100
310590,Barroso,199,S4,36,100
310590,Barroso,199,S5,150,100
310590,Barroso,199,S6,38,100
310590,Barroso,199,S7,41,100
310590,Barroso,199,S8,9,100
310590,Barroso,199,S10,66,100
310600,Bela_Vista_De_Minas,141,S4,73,100
310600,Bela_Vista_De_Minas,141,S5,201,100
310600,Bela_Vista_De_Minas,141,S6,113,100
310600,Bela_Vista_De_Minas,141,S7,58,100
310600,Bela_Vista_De_Minas,141,S8,13,100
310600,Bela_Vista_De_Minas,141,S10,114,100
310610,Belmiro_Braga,300,S4,14,100
310610,Belmiro_Braga,300,S5,20,100
310610,Belmiro_Braga,300,S6,6,100
310610,Belmiro_Braga,300,S7,7,100
310610,Belmiro_Braga,300,S8,2,100
310620,Belo_Horizonte,19,S2,5165,100
310620,Belo_Horizonte,19,S4,886,100
310620,Belo_Horizonte,19,S5,2547,100
310620,Belo_Horizonte,19,S6,775,100
310620,Belo_Horizonte,19,S7,752,100
310620,Belo_Horizonte,19,S8,130,100
310620,Belo_Horizonte,19,S10,1698,100
310630,Belo_Oriente,271,S4,32,100
310630,Belo_Oriente,271,S5,81,100
310630,Belo_Oriente,271,S6,53,100
310630,Belo_Oriente,271,S7,11,100
310630,Belo_Oriente,271,S8,7,100
310630,Belo_Oriente,271,S10,38,100
310640,Belo_Vale,79,S5,150,100
310640,Belo_Vale,79,S7,34,100
310640,Belo_Vale,79,S8,7,100
310640,Belo_Vale,79,S10,74,100
310650,Berilo,549,S4,3,100
310650,Berilo,549,S6,6,100
310650,Berilo,549,S7,3,100
310670,Betim,21,S2,11299,100
310670,Betim,21,S4,1924,100
310670,Betim,21,S5,5092,100
310670,Betim,21,S6,1675,100
310670,Betim,21,S7,1356,100
310670,Betim,21,S8,236,100
310670,Betim,21,S9,427,12
310670,Betim,21,S10,3160,100
310680,Bias_Fortes,238,S4,17,100
310680,Bias_Fortes,238,S5,34,100
310680,Bias_Fortes,238,S6,4,100
310680,Bias_Fortes,238,S7,9,100
310680,Bias_Fortes,238,S8,3,100
310680,Bias_Fortes,238,S10,16,100
310690,Bicas,303,S4,12,100
310690,Bicas,303,S5,36,100
310690,Bicas,303,S6,5,100
310690,Bicas,303,S7,16,100
310690,Bicas,303,S8,3,100
310690,Bicas,303,S10,18,100
310700,Biquinhas,256,S4,13,100
310700,Biquinhas,256,S5,21,100
310700,Biquinhas,256,S6,14,100
310700,Biquinhas,256,S7,5,100
310700,Biquinhas,256,S8,1,100
310700,Biquinhas,256,S10,10,100
310710,Boa_Esperanca,282,S4,75,100
310710,Boa_Esperanca,282,S5,130,100
310710,Boa_Esperanca,282,S6,41,100
310710,Boa_Esperanca,282,S7,36,100
310710,Boa_Esperanca,282,S8,11,100
310710,Boa_Esperanca,282,S10,55,100
310720,Bocaina_De_Minas,402,S4,11,100
310720,Bocaina_De_Minas,402,S5,12,100
310720,Bocaina_De_Minas,402,S6,14,100
310720,Bocaina_De_Minas,402,S7,8,100
310720,Bocaina_De_Minas,402,S8,1,100
310730,Bocaiuva,370,S4,34,100
310730,Bocaiuva,370,S5,56,100
310730,Bocaiuva,370,S6,63,100
310730,Bocaiuva,370,S7,21,100
310730,Bocaiuva,370,S8,6,100
310730,Bocaiuva,370,S10,37,100
310740,Bom_Despacho,149,S4,62,100
310740,Bom_Despacho,149,S5,373,100
310740,Bom_Despacho,149,S6,95,100
310740,Bom_Despacho,149,S7,104,100
310740,Bom_Despacho,149,S8,31,100
310740,Bom_Despacho,149,S10,258,100
310750,Bom_Jardim_De_Minas,348,S5,12,100
310750,Bom_Jardim_De_Minas,348,S7,3,100
310750,Bom_Jardim_De_Minas,348,S8,1,100
310760,Bom_Jesus_Da_Penha,412,S4,6,100
310760,Bom_Jesus_Da_Penha,412,S5,8,100
310760,Bom_Jesus_Da_Penha,412,S6,4,100
310760,Bom_Jesus_Da_Penha,412,S7,1,100
310770,Bom_Jesus_Do_Amparo,85,S4,58,100
310770,Bom_Jesus_Do_Amparo,85,S5,211,100
310770,Bom_Jesus_Do_Amparo,85,S6,15,100
310770,Bom_Jesus_Do_Amparo,85,S7,58,100
310770,Bom_Jesus_Do_Amparo,85,S8,11,100
310770,Bom_Jesus_Do_Amparo,85,S10,118,100
310780,Bom_Jesus_Do_Galho,286,S4,25,100
310780,Bom_Jesus_Do_Galho,286,S5,35,100
310780,Bom_Jesus_Do_Galho,286,S6,9,100
310780,Bom_Jesus_Do_Galho,286,S7,7,100
310780,Bom_Jesus_Do_Galho,286,S8,4,100
310780,Bom_Jesus_Do_Galho,286,S10,21,100
310790,Bom_Repouso,430,S4,19,100
310790,Bom_Repouso,430,S5,18,100
310790,Bom_Repouso,430,S6,17,100
310790,Bom_Repouso,430,S7,8,100
310790,Bom_Repouso,430,S8,1,100
310800,Bom_Sucesso,193,S4,27,100
310800,Bom_Sucesso,193,S5,130,100
310800,Bom_Sucesso,193,S6,62,100
310800,Bom_Sucesso,193,S7,36,100
310800,Bom_Sucesso,193,S8,8,100
310800,Bom_Sucesso,193,S10,64,100
310810,Bonfim,83,S4,74,100
310810,Bonfim,83,S5,112,100
310810,Bonfim,83,S6,24,100
310810,Bonfim,83,S7,35,100
310810,Bonfim,83,S8,13,100
310810,Bonfim,83,S10,125,100
310820,Bonfinopolis_De_Minas,546,S4,5,100
