Codigo,Unidade,Distancia,Servico,Atendimento,latitude,longitude
7116306,Regiao 17,12,S4,33,-19.85505,-44.01586
2190923,Regiao 18,11,S4,72,-19.86472,-44.04195
2190893,Regiao 19,14,S4,131,-19.84347,-44.03189
2190222,Regiao 20,12,S4,52,-19.85457,-44.02804
2189968,Regiao 21,3,S4,66,-19.91828,-44.09081
4696077,Regiao 22,3,S4,101,-19.91302,-44.08864
7110316,Regiao 23,4,S4,119,-19.90848,-44.09112
2189984,Regiao 24,3,S4,140,-19.92635,-44.08060
2190176,Regiao 25,6,S4,0,-19.89446,-44.06772
2190389,Regiao 26,5,S4,2,-19.92797,-44.10414
2190451,Regiao 27,6,S4,36,-19.92890,-44.10979
2190206,Regiao 28,7,S4,27,-19.92824,-44.11701
2190524,Regiao 29,8,S4,50,-19.93008,-44.12490
2190435,Regiao 30,8,S4,44,-19.91695,-44.12164
2190877,Regiao 31,7,S4,37,-19.92367,-44.12114
181854,Regiao 32,8,S4,19,-19.91591,-44.11787
2190834,Regiao 33,12,S4,147,-19.86003,-44.13395
2190710,Regiao 34,16,S4,91,-19.82687,-44.14813
2190826,Regiao 35,13,S4,57,-19.87581,-44.14067
2190656,Regiao 36,15,S4,13,-19.83402,-44.09048
2190540,Regiao 37,24,S4,2,-19.80543,-44.13212
2189992,Regiao 38,7,S4,69,-19.95852,-44.02485
2191202,Regiao 39,8,S4,17,-19.96171,-44.02844
2190060,Regiao 40,9,S4,1,-19.95052,-44.01402
2190788,Regiao 41,6,S4,24,-19.94511,-44.02653
2190214,Regiao 42,8,S4,144,-19.96957,-44.02728
2190680,Regiao 43,8,S4,81,-19.96843,-44.04242
4275454,Regiao 44,7,S4,69,-19.95846,-44.04709
7301189,Regiao 45,8,S4,23,-19.96103,-44.03387
2190044,Regiao 46,4,S4,91,-19.95335,-44.06228
2189909,Regiao 47,6,S4,47,-19.95725,-44.05509
2189844,Regiao 48,6,S4,56,-19.95760,-44.05139
2190141,Regiao 49,9,S4,32,-19.97610,-44.06420
2220245,Regiao 50,4,S4,82,-19.94539,-44.05793
2190052,Regiao 51,6,S4,66,-19.94487,-44.03069
2190001,Regiao 52,5,S4,45,-19.92800,-44.03948
2191199,Regiao 1,3,S5,53,-19.94370,-44.06693
6557864,Regiao 2,3,S5,179,-19.92942,-44.05811
2190095,Regiao 3,4,S5,130,-19.92886,-44.04764
2190087,Regiao 4,4,S5,156,-19.93684,-44.04962
2191040,Regiao 5,3,S5,8,-19.93673,-44.07910
2190990,Regiao 6,3,S5,120,-19.92591,-44.06100
